"x","y","z","x2","diff","col","umean","pred"
652,2864.5,2869.93805375389,425104,TRUE,251,2860.25729169084,2860.25729169069
653,2865.5,2868.15191916224,426409,FALSE,251,2860.25729169084,2860.25729169069
654,2865.5,2866.4692943651,427716,FALSE,251,2860.25729169084,2860.25729169069
655,2865.5,2864.89017936245,429025,FALSE,251,2860.25729169084,2860.25729169069
656,2866.5,2863.41457415431,430336,FALSE,251,2860.25729169084,2860.25729169069
657,2860.37837837838,2862.04247874066,431649,FALSE,251,2860.25729169084,2860.25729169069
658,2861.89090909091,2860.77389312153,432964,FALSE,251,2860.25729169084,2860.25729169069
659,2864,2859.60881729689,434281,FALSE,251,2860.25729169084,2860.25729169069
660,2863.734375,2858.54725126675,435600,FALSE,251,2860.25729169084,2860.25729169069
661,2859.91549295775,2857.58919503112,436921,FALSE,251,2860.25729169084,2860.25729169069
662,2858.44594594595,2856.73464858999,438244,FALSE,251,2860.25729169084,2860.25729169069
663,2857.32876712329,2855.98361194336,439569,FALSE,251,2860.25729169084,2860.25729169069
664,2858,2855.33608509123,440896,FALSE,251,2860.25729169084,2860.25729169069
665,2858.24657534247,2854.7920680336,442225,FALSE,251,2860.25729169084,2860.25729169069
666,2858,2854.35156077048,443556,FALSE,251,2860.25729169084,2860.25729169069
667,2856,2854.01456330185,444889,FALSE,251,2860.25729169084,2860.25729169069
668,2852.98387096774,2853.78107562774,446224,FALSE,251,2860.25729169084,2860.25729169069
669,2847.5,2853.65109774812,447561,FALSE,251,2860.25729169084,2860.25729169069
670,2846,2853.624629663,448900,FALSE,251,2860.25729169084,2860.25729169069
671,2846.14583333333,2853.70167137239,450241,FALSE,251,2860.25729169084,2860.25729169069
672,2845.80434782609,2853.88222287627,451584,FALSE,251,2860.25729169084,2860.25729169069
673,2845.15217391304,2854.16628417467,452929,FALSE,251,2860.25729169084,2860.25729169069
674,2853.32786885246,2854.55385526756,454276,FALSE,251,2860.25729169084,2860.25729169069
675,2858.5,2855.04493615495,455625,FALSE,251,2860.25729169084,2860.25729169069
676,2858.91891891892,2855.63952683685,456976,FALSE,251,2860.25729169084,2860.25729169069
677,2858.98648648649,2856.33762731324,458329,FALSE,251,2860.25729169084,2860.25729169069
678,2859.9,2857.13923758414,459684,FALSE,251,2860.25729169084,2860.25729169069
679,2858.46153846154,2858.04435764954,461041,FALSE,251,2860.25729169084,2860.25729169069
680,2862.5,2859.05298750944,462400,FALSE,251,2860.25729169084,2860.25729169069
681,2863.5,2860.16512716385,463761,FALSE,251,2860.25729169084,2860.25729169069
682,2864.5,2861.38077661275,465124,FALSE,251,2860.25729169084,2860.2572916907
683,2864.5,2862.69993585617,466489,FALSE,251,2860.25729169084,2860.2572916907
684,2865,2864.12260489407,467856,FALSE,251,2860.25729169084,2860.2572916907
685,2866.9298245614,2865.64878372649,469225,FALSE,251,2860.25729169084,2860.2572916907
686,2866.42857142857,2867.2784723534,470596,FALSE,251,2860.25729169084,2860.2572916907
687,2866.42857142857,2869.01167077482,471969,FALSE,251,2860.25729169084,2860.2572916907
688,2867.42592592593,2870.84837899074,473344,FALSE,251,2860.25729169084,2860.2572916907
689,2868.5,2872.78859700116,474721,FALSE,251,2860.25729169084,2860.2572916907
690,2879.2,2874.83232480608,476100,FALSE,251,2860.25729169084,2860.2572916907
700,2827.14285714286,2850.40411980736,490000,TRUE,252,2857.81520386502,2857.81520386497
701,2849.72222222222,2850.99751347348,491401,FALSE,252,2857.81520386502,2857.81520386497
702,2855.81818181818,2851.5744203874,492804,FALSE,252,2857.81520386502,2857.81520386497
703,2857.73076923077,2852.13484054913,494209,FALSE,252,2857.81520386502,2857.81520386497
704,2855.18181818182,2852.67877395865,495616,FALSE,252,2857.81520386502,2857.81520386497
705,2856.06,2853.20622061597,497025,FALSE,252,2857.81520386502,2857.81520386497
706,2857.83333333333,2853.7171805211,498436,FALSE,252,2857.81520386502,2857.81520386497
707,2858.60714285714,2854.21165367403,499849,FALSE,252,2857.81520386502,2857.81520386497
708,2858.77586206897,2854.68964007475,501264,FALSE,252,2857.81520386502,2857.81520386497
709,2858.84057971014,2855.15113972328,502681,FALSE,252,2857.81520386502,2857.81520386497
710,2858.75342465753,2855.59615261961,504100,FALSE,252,2857.81520386502,2857.81520386497
711,2858.5,2856.02467876374,505521,FALSE,252,2857.81520386502,2857.81520386497
712,2858,2856.43671815567,506944,FALSE,252,2857.81520386502,2857.81520386497
713,2856.609375,2856.83227079541,508369,FALSE,252,2857.81520386502,2857.81520386497
714,2857.5873015873,2857.21133668294,509796,FALSE,252,2857.81520386502,2857.81520386497
715,2858.45161290323,2857.57391581828,511225,FALSE,252,2857.81520386502,2857.81520386497
716,2860.5,2857.92000820141,512656,FALSE,252,2857.81520386502,2857.81520386497
717,2857.14285714286,2858.24961383235,514089,FALSE,252,2857.81520386502,2857.81520386497
718,2857.52173913043,2858.56273271109,515524,FALSE,252,2857.81520386502,2857.81520386497
719,2858.5,2858.85936483762,516961,FALSE,252,2857.81520386502,2857.81520386497
720,2857,2859.13951021196,518400,FALSE,252,2857.81520386502,2857.81520386497
721,2856.5,2859.40316883411,519841,FALSE,252,2857.81520386502,2857.81520386497
722,2854.53448275862,2859.65034070405,521284,FALSE,252,2857.81520386502,2857.81520386497
723,2859,2859.88102582179,522729,FALSE,252,2857.81520386502,2857.81520386497
724,2859.5,2860.09522418733,524176,FALSE,252,2857.81520386502,2857.81520386497
725,2859.5,2860.29293580068,525625,FALSE,252,2857.81520386502,2857.81520386497
