"x","x2","col","ref"
652,425104,"251",2860.25729169069
653,426409,"251",2860.25729169069
654,427716,"251",2860.25729169069
655,429025,"251",2860.25729169069
656,430336,"251",2860.25729169069
657,431649,"251",2860.25729169069
658,432964,"251",2860.25729169069
659,434281,"251",2860.25729169069
660,435600,"251",2860.25729169069
661,436921,"251",2860.25729169069
662,438244,"251",2860.25729169069
663,439569,"251",2860.25729169069
664,440896,"251",2860.25729169069
665,442225,"251",2860.25729169069
666,443556,"251",2860.25729169069
667,444889,"251",2860.25729169069
668,446224,"251",2860.25729169069
669,447561,"251",2860.25729169069
670,448900,"251",2860.25729169069
671,450241,"251",2860.25729169069
672,451584,"251",2860.25729169069
673,452929,"251",2860.25729169069
674,454276,"251",2860.25729169069
675,455625,"251",2860.25729169069
676,456976,"251",2860.25729169069
677,458329,"251",2860.25729169069
678,459684,"251",2860.25729169069
679,461041,"251",2860.25729169069
680,462400,"251",2860.25729169069
681,463761,"251",2860.25729169069
682,465124,"251",2860.2572916907
683,466489,"251",2860.2572916907
684,467856,"251",2860.2572916907
685,469225,"251",2860.2572916907
686,470596,"251",2860.2572916907
687,471969,"251",2860.2572916907
688,473344,"251",2860.2572916907
689,474721,"251",2860.2572916907
690,476100,"251",2860.2572916907
700,490000,"251",2860.2572916907
701,491401,"251",2860.2572916907
702,492804,"251",2860.2572916907
703,494209,"251",2860.2572916907
704,495616,"251",2860.2572916907
705,497025,"251",2860.2572916907
706,498436,"251",2860.2572916907
707,499849,"251",2860.2572916907
708,501264,"251",2860.2572916907
709,502681,"251",2860.2572916907
710,504100,"251",2860.2572916907
711,505521,"251",2860.2572916907
712,506944,"251",2860.2572916907
713,508369,"251",2860.2572916907
714,509796,"251",2860.2572916907
715,511225,"251",2860.2572916907
716,512656,"251",2860.2572916907
717,514089,"251",2860.2572916907
718,515524,"251",2860.2572916907
719,516961,"251",2860.2572916907
720,518400,"251",2860.2572916907
721,519841,"251",2860.2572916907
722,521284,"251",2860.2572916907
723,522729,"251",2860.2572916907
724,524176,"251",2860.2572916907
725,525625,"251",2860.2572916907
726,527076,"251",2860.2572916907
727,528529,"251",2860.2572916907
728,529984,"251",2860.2572916907
729,531441,"251",2860.2572916907
730,532900,"251",2860.2572916907
731,534361,"251",2860.2572916907
732,535824,"251",2860.2572916907
733,537289,"251",2860.2572916907
734,538756,"251",2860.2572916907
735,540225,"251",2860.2572916907
736,541696,"251",2860.2572916907
737,543169,"251",2860.2572916907
738,544644,"251",2860.2572916907
801,641601,"251",2860.25729169071
802,643204,"251",2860.25729169071
803,644809,"251",2860.25729169071
804,646416,"251",2860.25729169071
805,648025,"251",2860.25729169071
806,649636,"251",2860.25729169071
807,651249,"251",2860.25729169071
808,652864,"251",2860.25729169071
809,654481,"251",2860.25729169071
810,656100,"251",2860.25729169071
811,657721,"251",2860.25729169071
812,659344,"251",2860.25729169071
813,660969,"251",2860.25729169071
814,662596,"251",2860.25729169071
815,664225,"251",2860.25729169071
816,665856,"251",2860.25729169071
817,667489,"251",2860.25729169071
818,669124,"251",2860.25729169071
819,670761,"251",2860.25729169071
820,672400,"251",2860.25729169071
821,674041,"251",2860.25729169071
822,675684,"251",2860.25729169071
823,677329,"251",2860.25729169071
824,678976,"251",2860.25729169071
825,680625,"251",2860.25729169071
826,682276,"251",2860.25729169071
958,917764,"251",2860.25729169072
959,919681,"251",2860.25729169072
960,921600,"251",2860.25729169073
961,923521,"251",2860.25729169073
962,925444,"251",2860.25729169072
963,927369,"251",2860.25729169073
964,929296,"251",2860.25729169073
965,931225,"251",2860.25729169073
966,933156,"251",2860.25729169073
967,935089,"251",2860.25729169073
968,937024,"251",2860.25729169073
969,938961,"251",2860.25729169073
970,940900,"251",2860.25729169073
971,942841,"251",2860.25729169073
972,944784,"251",2860.25729169073
973,946729,"251",2860.25729169073
974,948676,"251",2860.25729169073
975,950625,"251",2860.25729169073
976,952576,"251",2860.25729169073
977,954529,"251",2860.25729169073
978,956484,"251",2860.25729169073
979,958441,"251",2860.25729169073
980,960400,"251",2860.25729169073
981,962361,"251",2860.25729169073
982,964324,"251",2860.25729169073
983,966289,"251",2860.25729169073
1001,1002001,"251",2860.25729169073
1002,1004004,"251",2860.25729169073
1003,1006009,"251",2860.25729169073
1004,1008016,"251",2860.25729169073
1005,1010025,"251",2860.25729169073
1006,1012036,"251",2860.25729169073
1007,1014049,"251",2860.25729169073
1008,1016064,"251",2860.25729169073
1009,1018081,"251",2860.25729169073
1010,1020100,"251",2860.25729169073
1011,1022121,"251",2860.25729169073
1012,1024144,"251",2860.25729169073
1013,1026169,"251",2860.25729169073
1014,1028196,"251",2860.25729169073
1015,1030225,"251",2860.25729169073
1016,1032256,"251",2860.25729169073
1017,1034289,"251",2860.25729169073
1018,1036324,"251",2860.25729169073
1019,1038361,"251",2860.25729169073
1020,1040400,"251",2860.25729169073
1021,1042441,"251",2860.25729169073
1022,1044484,"251",2860.25729169073
1023,1046529,"251",2860.25729169073
1024,1048576,"251",2860.25729169073
1025,1050625,"251",2860.25729169073
1026,1052676,"251",2860.25729169073
1027,1054729,"251",2860.25729169073
1028,1056784,"251",2860.25729169073
1029,1058841,"251",2860.25729169073
1030,1060900,"251",2860.25729169073
1031,1062961,"251",2860.25729169073
1032,1065024,"251",2860.25729169073
1033,1067089,"251",2860.25729169073
